Data,Título,Tipo,Regime,Link Oferta,Google Flights,Skyscanner
2026-04-16,Adults-only all-inclusive Turkey holiday with swim-up bar 🍹🌴☀️,Voo + Hotel,,https://www.holidaypirates.com/packages/tui-blue-angora-beach-seferihisar-izmir-turkey,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-16,Bahamas mini cruise from Miami 🇺🇸🛳️☀️,Voo + Hotel,,https://www.holidaypirates.com/cruises/bahamas-mini-cruise-from-miami,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-16,Dreamy 4⭐️ adults-only Mykonos holiday in boutique hotel ✈️ 💕,Voo + Hotel,,https://www.holidaypirates.com/packages/adults-only-mykonos-livin-mykonos-boutique-hotel,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-16,Vietnam: stunning 5-star beach week at top-rated resort 🏆🇻🇳☀️,Voo,,https://www.holidaypirates.com/packages/melia-ho-tram-beach-resort,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-16,🤠 Coyote Ugly bottomless brunch for 2 in 8 locations,Voo,,https://www.holidaypirates.com/others/coyote-ugly-bottomless-brunch-wowcher,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-16,Murcia: 4-night spring getaway in May ☀️👗👒,Voo + Hotel,,https://www.holidaypirates.com/packages/murcia-poseidon-la-manga-hotel,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-16,"7 nights at a chic 5⭐ all-inclusive hotel in Rhodes, with ✈️",Voo + Hotel,,https://www.holidaypirates.com/packages/lindos-breeze-beach-hotel-rhodes-greece,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-16,This is not the Maldives... it's Greece 🇬🇷,Voo + Hotel,,https://www.holidaypirates.com/packages/this-is-not-the-maldives-its-greece,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-16,🌴 4⭐ Majorca break ☀️ flights + brekkie included 🏖️🍳,Voo + Hotel,,https://www.holidaypirates.com/packages/sol-house-mallorca-spain,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-16,Flash sale 🏝️☀️😎 Menorca holiday is calling your name ,Voo + Hotel,,https://www.holidaypirates.com/packages/ilunion-menorca-balearic-spain,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-16,"4⭐️ Lapland getaway in cute lodge with private sauna, breakfast & flights 🦌",Voo + Hotel,,https://www.holidaypirates.com/packages/lapland-hotels-ounasvaara-chalets-rovaniemi-lapland-finland,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-16,5⭐️ all-inclusive Sicily holiday set on a private beach 🏖️ 🍸,Voo + Hotel,,https://www.holidaypirates.com/packages/5-all-inclusive-sicily-grand-palladium-sicilia-resort-spa,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-16,School holidays: 4-night family glamping pod stay at Adventure Parc Snowdonia 🏴󠁧󠁢󠁷󠁬󠁳󠁿,Voo,,https://www.holidaypirates.com/hotels/family-stay-adventure-parc-snowdonia,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-16,Beautiful Sardina week for a crazy price 🇮🇹 ,Voo,,https://www.holidaypirates.com/packages/beautiful-sardina-week-residence-bouganvillage,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-16,4⭐️ Jail hotel in Cornwall ⛓️‍💥 Get locked up in luxury 😮,Voo + Hotel,,https://www.holidaypirates.com/hotels/4-jail-hotel-in-cornwall-the-bodmin-jail-hotel,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-16,4⭐️ Barcelona trip with the best location 🌊 🛥️ 🏖️,Voo + Hotel,,https://www.holidaypirates.com/packages/4-barcelona-trip-hotel-marina-badalona,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-16,3-night Rome winter trip UNDER £200 with ✈️ & central hotel ✅,Voo + Hotel,,https://www.holidaypirates.com/packages/3-night-rome-winter-weekend-hotel-relaisdei-papi,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-16,5🌟 art-deco Devon landmark hotel on stunning UK island 😍 ,Voo + Hotel,,https://www.holidaypirates.com/hotels/5-art-deco-devon-landmark-hotel-on-stunning-uk-island,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-16,LUSH 4⭐️ all-inclusive Mitsis Crete hol with flights 🍹💕🇬🇷,Voo + Hotel,,https://www.holidaypirates.com/packages/lush-4-all-inclusive-mitsis-crete-week-with-flights,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-16,Extreme Day Trip: Majorca edition 🇪🇸😎,Voo,,https://www.holidaypirates.com/flights/extreme-day-trip-majorca-edition,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
