Data,Título,Tipo,Regime,Link Oferta,Google Flights,Skyscanner
2026-02-06,Flash sale ⚡ 2-night 5⭐ Rome escape with flights ✈️,Voo + Hotel,,https://www.holidaypirates.com/packages/nh-collection-palazzo-cinquecento-rome-italy,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,Up to 58% off 💰 London West End theatre shows at great prices 🎭🎟️,Voo,,https://www.holidaypirates.com/others/londons-west-end-theatre-discounts,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,E❌treme day trip to SICILY ✈️ Palermo calling ☎️,Voo,,https://www.holidaypirates.com/flights/extreme-day-trip-to-sicily-palermo,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,Malta holiday in new ADULTS-ONLY hotel with rooftop pool 💦🍹✈️,Voo + Hotel,,https://www.holidaypirates.com/packages/so-city-hotel-paceville-st-julians-malta,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,Adults-only 🔞  long-weekend 5⭐️ Halkidiki holiday,Voo + Hotel,,https://www.holidaypirates.com/packages/alia-palace-luxury-hotel-and-villas-adults-only-halkidiki-greece,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,Egypt: 5⭐ Hilton all-inclusive week ☀️✈️,Voo,,https://www.holidaypirates.com/packages/egypt-5-star-hilton-all-inclusive-winter-sun-week,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,7-night Alaska spring cruise from Vancouver 🏔️❄️🐻🇨🇦🇺🇸,Voo,,https://www.holidaypirates.com/cruises/alaska-northbound-glacier-celebrity-summit,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,Abba Voyage tickets at an amazing price 💃🪩,Voo,,https://www.holidaypirates.com/others/abba-voyage-tickets,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,Spain: last-minute Feb half-term all-inclusive family holiday 🇪🇸,Voo + Hotel,,https://www.holidaypirates.com/packages/puente-real-torremolinos-costa-del-sol-spain,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,5-night 4⭐ Algarve break with ✈️,Voo + Hotel,,https://www.holidaypirates.com/packages/paladim-alagoamar-aparthotel-albufeira-portugal,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,2-night 4⭐ Prague break with flights & breakfast ✈️,Voo + Hotel,,https://www.holidaypirates.com/packages/amarilis-prague-czechia,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,Last-minute 4⭐️ Madeira holiday 🌴😍,Voo + Hotel,,https://www.holidaypirates.com/packages/madeira-winter-sun-week-for-a-bargain-dom-pedro-machico,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,"2-night winter Venice escape, including flights 🇮🇹✈️",Voo + Hotel,,https://www.holidaypirates.com/packages/ai-mori-oriente-venice-italy,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,7-night 4⭐ Majorca holiday with flights & half-board ✈️,Voo + Hotel,,https://www.holidaypirates.com/packages/barcelo-ponent-beach-majorca-spain,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,4⭐️ ALL-INCLUSIVE Lanzarote spring escape ☀️🏖️,Voo + Hotel,,https://www.holidaypirates.com/packages/7-night-lanzarote-all-inc-winter-sun-escape,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,2-night 4⭐ Malaga break with flights & breakfast ✈️,Voo + Hotel,,https://www.holidaypirates.com/packages/melia-costa-del-sol-malaga-spain,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,2-night Krakow city break with flights ✈️,Voo + Hotel,,https://www.holidaypirates.com/packages/aparthotel-globus-self-check-in-krakow-poland,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,Visit the remote beautiful Italian island of Lampedusa 🇮🇹 🏖️,Voo,,https://www.holidaypirates.com/packages/lampedusa-italian-island,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,2-night 4⭐ Lisbon break with flights ✈️,Voo + Hotel,,https://www.holidaypirates.com/packages/behotelisboa-lisbon-portugal,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,🇩🇪 Berlin mini-break for the Christmas markets ❄️,Voo,,https://www.holidaypirates.com/packages/berlin-mini-break-for-the-christmas-markets-premier-inn-berlin-city-centre,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,4⭐️ Budapest getaway at award-winning hotel 🇭🇺 😍 ,Voo + Hotel,,https://www.holidaypirates.com/packages/Rum-Hotel-Budapest-Hungary,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,ALL-INCLUSIVE Cyprus holiday at 4⭐️ hotel 🇨🇾 SAVE £200 🔥,Voo + Hotel,,https://www.holidaypirates.com/packages/Louis-Phaethon-Beach-Paphos-Cyprus,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,Stay in the town that inspired Pinocchio 🤥🏰,Voo + Hotel,,https://www.holidaypirates.com/packages/stay-in-the-town-that-inspired-pinocchio,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,🇿🇦 2 weeks of winter sun in Cape Town at a fab price 😮 ,Voo + Hotel,,https://www.holidaypirates.com/packages/cape-town-capetonian-hotel,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,🇪🇸 Benidorm spring week at lush hotel with rooftop pool,Voo + Hotel,,https://www.holidaypirates.com/packages/hotel-cuco-benidorm-costa-blanca-spain,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,Stunning break to a chateau surrounded by vineyards in Provence 🇫🇷🍷😍,Voo,,https://www.holidaypirates.com/packages/charming-break-to-a-chateau-surrounded-by-vineyards-in-provence,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-02-06,Underrated Italian island escape: 5 nights on📍 Ischia 🇮🇹🍋🍾 ,Voo + Hotel,,https://www.holidaypirates.com/packages/underrated-italian-island-escape-5-nights-on-ischia,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
