Data,Título,Tipo,Regime,Link Oferta,Google Flights,Skyscanner
2026-04-23,Stay in a 4⭐️ CASTLE near Edinburgh 🏰🏴󠁧󠁢󠁳󠁣󠁴󠁿✨,Voo + Hotel,,https://www.holidaypirates.com/hotels/Dalmahoy-Hotel-Edinburgh,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,Bargain Corfu 2-week holiday 🇬🇷 ,Voo + Hotel,,https://www.holidaypirates.com/packages/bargain-corfu-2-week-holiday,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,All-inclusive Mexico holiday in 4⭐️ NYX hotel with direct flights 🇲🇽🌮,Voo + Hotel,,https://www.holidaypirates.com/packages/hotel-nyx-cancun-all-inclusive-cancun-quintana-roo-mexico,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,Mystery trip with accommodation & flights ✈️ Under £100 🤯,Voo,,https://www.holidaypirates.com/packages/mystery-trip-with-accommodation-and-flights-under-gbp100,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,"Last-minute Med cruise incl. Italy, Montenegro & Greek islands 🚢🌊🏝️",Voo,,https://www.holidaypirates.com/cruises/last-minute-med-cruise-incl-italy-montenegro-and-greek-islands,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,"2-night early bird Venice escape, including flights 🇮🇹✈️",Voo + Hotel,,https://www.holidaypirates.com/packages/ai-mori-oriente-venice-italy,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,Montenegro: amazing luxury holiday on Kotor Bay 🤩 🌊,Voo + Hotel,,https://www.holidaypirates.com/packages/hyatt-regency-kotor-bay-montenegro,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,Flash sale ⚡🚨 2-night spring getaway to Valencia 🍹☀️😎,Voo + Hotel,,https://www.holidaypirates.com/packages/ilunion-valencia-3-valencia-spain,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,🏝️ 9-night Barbados winter-sun STEAL 😮,Voo + Hotel,,https://www.holidaypirates.com/packages/barbados-winter-sun-steal-manderley-villas,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,🇨🇦 5-night stay at Niagara Falls with flights 🤩,Voo,,https://www.holidaypirates.com/packages/5-night-stay-at-niagara-falls-with-flights,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,5⭐ Istanbul 🕌 city break 🇹🇷 2 nights with flights ✈️,Voo + Hotel,,https://www.holidaypirates.com/packages/glk-premier-the-home-suites-spa-istanbul-turkey,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,ULTRA all-inclusive family Spain holiday in gaming-style room with XBOX S 🎮🌴🇪🇸,Voo + Hotel,,https://www.holidaypirates.com/packages/hotel-magic-games-costa-del-azahar-spain,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,Kalimera Mykonos! 🇬🇷 7 nights of Greek Island paradise 🏖️,Voo + Hotel,,https://www.holidaypirates.com/packages/kalimera-mykonos-7-nights-of-greek-island-paradise,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,Christmas in Las Vegas for a great price 🎄🎰🎲,Voo + Hotel,,https://www.holidaypirates.com/packages/rio-hotel-and-casino-destination-by-hyatt-hotel-las-vegas-nevada-usa,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,Summer family week in Cape Verde with breakfast & direct flights UNDER £400pp 🌴🌞🇨🇻,Voo + Hotel,,https://www.holidaypirates.com/packages/cape-verde-family-hotel-pontao,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,Cheaper than your weekly shop! 2-day Alicante trip for a bargain ⛱️🍤☀️,Voo + Hotel,,https://www.holidaypirates.com/packages/alicante-short-trip,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,Kosice long weekend in summer for a fab price 🏰 🌸 ,Voo + Hotel,,https://www.holidaypirates.com/packages/kosice-long-weekend-dorfel,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,5⭐ Tunisia family all-inclusive break for a bargain ,Voo + Hotel,,https://www.holidaypirates.com/packages/iberostar-selection-royal-el-mansour-family-break,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,5⭐️ all-inclusive Crete holiday in NEW hotel with SWIM-UP room 💦,Voo + Hotel,,https://www.holidaypirates.com/packages/rocrita-lifestyle-beach-resort-mochlos-crete-greece,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,5⭐️ all-inclusive Turkey week 🏝️,Voo,,https://www.holidaypirates.com/packages/5-all-inclusive-turkey-senza-garden,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,❌treme day trip: Luxembourg 🇱🇺 🍻,Voo + Hotel,,https://www.holidaypirates.com/flights/extreme-day-trip-luxembourg,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,Corfu: 3-night all-inclusive spring mini break 🇬🇷🏛️🧿,Voo + Hotel,,https://www.holidaypirates.com/packages/hellinis-corfu-hotel,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,Tajikistan 5-night summer adventure 🇹🇯⛰️,Voo + Hotel,,https://www.holidaypirates.com/packages/tajikistan-5-night-summer-adventure,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,WOW❗️This 4⭐️ Lake District hotel has a spa with champagne bar & infinity pool,Voo + Hotel,,https://www.holidaypirates.com/hotels/lake-district-lodore-falls-hotel-spa,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-23,All-inclusive Montenegro break at BRAND-NEW 5⭐️ hotel,Voo + Hotel,,https://www.holidaypirates.com/packages/all-inclusive-break-iberostar-selection-montenegro,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
