Data,Título,Tipo,Regime,Link Oferta,Google Flights,Skyscanner
2026-04-28,3-week Mauritius holiday with flights & hotel for a great price,Voo + Hotel,,https://www.holidaypirates.com/packages/mauritius-holiday-golden-shell-residence,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,Last-minute Crete spring getaway ☀️✈️🇬🇷,Voo + Hotel,,https://www.holidaypirates.com/packages/yiannis-manos-apartments-crete,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,Summer getaway to Rome 🌞🍷🍕,Voo + Hotel,,https://www.holidaypirates.com/packages/antica-locanda-dell-orso-rome-italy,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,🇹🇳 10-night all-inclusive 4⭐️ Tunisia holiday,Voo + Hotel,,https://www.holidaypirates.com/packages/el-mouradi-skanes-tunisia-all-inclusive,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,🐽 Piggie sleepover! Stay in a cabin with barn-view 🐷,Voo,,https://www.holidaypirates.com/hotels/piggie-sleepover-stay-in-a-cabin-with-barn-view,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,4⭐️ all-inclusive Mexico holiday 🏝️🐚 Swim-up rooms available 😍 ,Voo,,https://www.holidaypirates.com/packages/flamingo-cancun-all-inclusive-quintana-roo-mexico,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,Stunning Croatian island mini break 🇭🇷🏝️🍹⛱️🌞 🌊,Voo,,https://www.holidaypirates.com/packages/stunning-croatian-island-mini-break,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,🚨 Last-minute Menorca all-inclusive mini break ✈️🍹☀️,Voo,,https://www.holidaypirates.com/packages/bluesea-marina-parc-arenal-den-castell-menorca-balearic-islands,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,This hotel in Italy will blow your mind 🇮🇹🤯 ,Voo + Hotel,,https://www.holidaypirates.com/hotels/leonardo-trulli-resort-puglia-italy,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,Stunning spa hotel near Belfast plus flights 🤩💦🍹,Voo + Hotel,,https://www.holidaypirates.com/packages/the-rabbit-hotel-and-retreat-templepatrick-belfast,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,Zante all-inclusive 4⭐ mini break ☀️🔱🧿🌊🇬🇷,Voo + Hotel,,https://www.holidaypirates.com/packages/tsilivi-beach-hotel-tsilivi-zante-greek-islands,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,Cheap flights to Barcelona 🇪🇸,Voo,,https://www.holidaypirates.com/flights/cheap-flights-to-barcelona,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,Stay at Marco Pierre White's hotel with 3-course dinner & more 😍,Voo + Hotel,,https://www.holidaypirates.com/hotels/stay-at-marco-pierre-whites-hotel-with-3-course-dinner-and-more,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,Luxury 5⭐️ Gran Canaria holiday with breakfast 🌴🐚,Voo + Hotel,,"https://www.holidaypirates.com/packages/salobre-hotel-resort-and-serenity-maspalomas,-gran-canaria-canary-islands",https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,4-night beautiful Amalfi coast mini-break 🇮🇹😍,Voo + Hotel,,https://www.holidaypirates.com/packages/4-night-amalfi-coast-mini-break,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,5-night Riga city break under £180 🤯,Voo + Hotel,,https://www.holidaypirates.com/packages/rija-riga-city-center-hotel-riga-latvia,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,4⭐️ adults-only Majorca getaway 🌴🔞,Voo,,https://www.holidaypirates.com/packages/thb-gran-playa-adults-only-can-picafort-majorca-spain,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,Thailand: Bangkok 18-night escape for bonkers price 🛺🇹🇭🪷🌺,Voo + Hotel,,https://www.holidaypirates.com/packages/thailand-bangkok-18-night-escape-for-bonkers-price,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,"Prague–Amsterdam luxury river cruise -- save nearly £2,000! 😍",Voo,,https://www.holidaypirates.com/cruises/prague-to-amsterdam-luxury-river-cruise,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,Early-bird Dominican Republic all-inclusive holiday 🏝️🐚,Voo,,https://www.holidaypirates.com/packages/coral-costa-caribe-resort-and-spa-juan-dolio-dominican-republic,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,4⭐️ spa hotel stay near Belfast 💆💕,Voo + Hotel,,https://www.holidaypirates.com/packages/galgorm-ballymena-northern-ireland,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,🇦🇱 Albania: ✈️ & 7 nights near the beach for a pinch,Voo + Hotel,,https://www.holidaypirates.com/packages/albania-and-7-nights-near-the-beach-for-a-pinch,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-28,Italy’s Tiramisu Run: A 6‑Mile Medieval City Race With Tiramisu at the Finish Line,Voo,,https://www.holidaypirates.com/travel-magazine/uk-italys-tiramisu-run-a-6-mile-medieval-city-race-with-tiramisu-at-the-finish-line,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
