Data,Título,Tipo,Regime,Link Oferta,Google Flights,Skyscanner
2026-05-11,3-night central NYC stay in the festive period 🎄🇺🇸🗽,Voo + Hotel,,https://www.holidaypirates.com/hotels/holiday-inn-new-york-city-times-square,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-05-11,Last-min 4⭐️ ALL-INCLUSIVE Dominican Republic holiday 🌴 🇩🇴 ,Voo + Hotel,,https://www.holidaypirates.com/packages/adults-only-all-inclusive-dominican-republic-holiday-hm-alma-de-bayahibe,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-05-11,5🌟 villa mini-break to the Algarve 👏🇵🇹🤩,Voo,,https://www.holidaypirates.com/packages/vale-da-lapa-vllage-esort-carvoeiro-portugal,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-05-11,Rhodes luxury 5⭐ holiday for a bargain price 🇬🇷,Voo,,https://www.holidaypirates.com/packages/rhodes-lindos-grand-resort-and-spa-trending-deals,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-05-11,4⭐️ Madeira week with flights & brekkie ✈️,Voo + Hotel,,https://www.holidaypirates.com/packages/estalagem-do-vale-madeira-portugal,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-05-11,Turkey: 4⭐ all-inclusive summer holiday ✈️ ☀️,Voo + Hotel,,https://www.holidaypirates.com/packages/arbatt-marmaris-hotel-icmeler-dalaman-turkey,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-05-11,Save £110 on your next campervan roadtrip 🌳🚙🇬🇧,Voo,,https://www.holidaypirates.com/others/save-on-your-next-campervan-roadtrip-with-roadsurfer,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-05-11,🔓 NEW DESTINATION UNLOCKED 🇦🇲 Yerevan spring week,Voo + Hotel,,https://www.holidaypirates.com/packages/yerevan-spring-holiday,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-05-11,The Seychelles of Europe 😮🏝️ Corsica group week + flights ,Voo,,https://www.holidaypirates.com/packages/the-seychelles-of-europe-corsica-family-group-stay-flights,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
