Data,Título,Tipo,Regime,Link Oferta,Google Flights,Skyscanner
2026-04-02,5-night Lago Maggiore break at a FAB price 👏,Voo + Hotel,,https://www.holidaypirates.com/packages/lago-maggiore-break-della-torre,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,🚨 Extreme day trip: 3 countries in 1 day ✈️  No hotel needed,Voo,,https://www.holidaypirates.com/flights/extreme-day-trip-3-countries-in-1-day,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,5⭐️ all-inclusive Turkey holiday 🌴😍,Voo + Hotel,,https://www.holidaypirates.com/packages/lake-and-river-side-hotel-and-spa-antalya-turkey,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,🇭🇷 Croatia holiday at cliff hotel with roof-top jacuzzi & amazing views ⛰️🌅,Voo,,https://www.holidaypirates.com/packages/under-gbp300-5-nights-in-croatia-with-incredible-views,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Albania beach week for an unbelievable price 😍❤️ ,Voo + Hotel,,https://www.holidaypirates.com/packages/albania-beach-week-for-an-unbelievable-price-amfora-hotel-spa-durres,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Fiji: 12-night island holiday 🏝️🍹⛱️🌞 🌊🇫🇯.,Voo,,https://www.holidaypirates.com/packages/likuri-island-resort-fiji,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Spanish escape 🇪🇸💃 Valencia city break with flights ✈️,Voo + Hotel,,https://www.holidaypirates.com/packages/ilunion-aqua-3-valencia-spain,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,SPL Villas: £500 OFF 🏝️🤩🌺 ,Voo,,https://www.holidaypirates.com/packages/spl-villas-gbp500-off,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,All-inclusive Crete holiday 🌴🍹,Voo + Hotel,,https://www.holidaypirates.com/packages/filion-suites-resort-and-spa-bali-crete-greece,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Italy: Naples romantic city break from £100! 🤌🇮🇹🍝🍕,Voo + Hotel,,https://www.holidaypirates.com/packages/il-sogno-naples-city-break,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Fuerteventura break with ✈️ & 4⭐️ hotel near golden-sand beach 🏝️,Voo + Hotel,,https://www.holidaypirates.com/packages/sun-kissed-fuerteventura-hol-for-5-nights,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Sunny city breaks under £200 😎 ,Voo,,https://www.holidaypirates.com/packages/sunny-city-breaks-under-gbp200,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,St Lucia 10-night getaway with direct BA flights 😎,Voo,,https://www.holidaypirates.com/packages/st-lucia-10-night-getaway-south-sea-house,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,"11-night Philippines holiday with breakfast, ✈️ & luggage 🌴🇵🇭",Voo + Hotel,,https://www.holidaypirates.com/packages/kingsford-hotel-manila-bay-pasay-luzon-philippines,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,🇩🇰 Copenhagen extreme day trip  ,Voo + Hotel,,https://www.holidaypirates.com/flights/extreme-day-trip-copenhagen,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,5⭐️ ALL-INCLUSIVE Morocco break at beachfront RIU hotel 🌞🇲🇦,Voo + Hotel,,https://www.holidaypirates.com/packages/5-all-inclusive-morocco-break-at-beachfront-riu-hotel,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,5⭐️ ALL-INCLUSIVE Egypt holiday 🌴🌞 ,Voo + Hotel,,https://www.holidaypirates.com/packages/parrotel-lagoon-resort-sharm-el-sheikh-red-sea-egypt,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,ALL-INCLUSIVE 5⭐️ Mexico holiday at Riu hotel 🇲🇽 🏝️ SAVE £1K🔥,Voo + Hotel,,https://www.holidaypirates.com/packages/riu-cancun-caribbean-coast-mexico,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,PRICE DROP 🔥 4⭐️ Majorca adults-only trip 😍 ,Voo + Hotel,,https://www.holidaypirates.com/packages/price-drop-4-majorca-adults-only-trip-thb-bamboo-alcudia,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Head to Chessington World of Adventures & get entry to a second theme park for FREE 😱,Voo,,https://www.holidaypirates.com/others/head-to-chessington-world-of-adventures-and-get-entry-to-a-second-theme-park,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Check out this castle hotel near St Ives 🏰🇬🇧😍,Voo + Hotel,,https://www.holidaypirates.com/hotels/stunning-castle-hotel-nr-st-ives,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Adults-only Ibiza break at lush hotel + ✈️🌴🐚,Voo + Hotel,,https://www.holidaypirates.com/packages/Ibiza-holiday-amare-hotel,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Portugal 🇵🇹😍 Spend a week on the Algarve with ✈️,Voo,,https://www.holidaypirates.com/packages/muthu-balaia-sol-algarve-portugal,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Sicily 🇮🇹 week at 4⭐ seafront hotel with ✈️ & brekkie☀️🌴,Voo + Hotel,,https://www.holidaypirates.com/packages/cds-hotels-terrasini-sicily-italy,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,4-night Costa Brava break at 4⭐ hotel with flights ✈️,Voo + Hotel,,https://www.holidaypirates.com/packages/ilunion-caleta-park-costa-brava-spain,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Flash sale 5⭐ Costa Blanca escape with flights & brekkie,Voo + Hotel,,https://www.holidaypirates.com/packages/barcelo-la-nucia-palms-costa-blanca-spain,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,All-inclusive beach breaks under £400 😎 🏖️ 🍹 🌴,Voo,,https://www.holidaypirates.com/packages/all-inclusive-beach-breaks-under-gbp400,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,HUGE rail sale 🚨 Save up to 50% on train tickets & Railcards 😍,Voo,,https://www.holidaypirates.com/others/trainpal-rail-sale,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Krakow 🇵🇱 2-night break for less than £100 😍 with ✈️,Voo + Hotel,,https://www.holidaypirates.com/packages/armon-residence-krakow-poland,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,4⭐️ Manchester hotel stay with rooftop infinity pool ☀️🇬🇧🌺,Voo + Hotel,,https://www.holidaypirates.com/hotels/manchester-with-an-infinity-rooftop-pool,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Kos: all-inclusive spring mini break 🇬🇷,Voo + Hotel,,https://www.holidaypirates.com/packages/corali-hotel-tigaki-kos-greek-islands,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Bucharest mini-break 🇷🇴 visit Europe's biggest SPA,Voo + Hotel,,https://www.holidaypirates.com/packages/bucharest-mini-break-mercure-bucharest-city-center,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Last minute: 7-night Alaska cruise  🏔️❄️🐻🇺🇸🇨🇦,Voo,,https://www.holidaypirates.com/cruises/last-minute-7-night-alaska-cruise,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Dubrovnik 5⭐️  group or family holiday for a steal 🇭🇷,Voo + Hotel,,https://www.holidaypirates.com/packages/dubrovnik-more-hotel-cave-bar,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,3-night 4⭐️ central Prague trip for a pinch 🤏 🇨🇿 ,Voo + Hotel,,https://www.holidaypirates.com/packages/prague-trip-for-a-pinch-hotel-belvedere,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,🇪🇸 A week-long half-board spring holiday to Lanzarote ☀️,Voo + Hotel,,https://www.holidaypirates.com/packages/weel-long-half-board-holiday-to-lanzarote,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,3-night central NYC stay in the festive period 🎄🇺🇸🗽,Voo + Hotel,,https://www.holidaypirates.com/hotels/holiday-inn-new-york-city-times-square,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Montenegro 5⭐ mini spring break ☀️🍹,Voo + Hotel,,https://www.holidaypirates.com/packages/montenegro-5-star-mini-spring-break,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,4-night stay with dreamy views from this Airbnb in Sicily 🇮🇹🌊,Voo,,https://www.holidaypirates.com/hotels/dreamy-views-from-this-airbnb-in-sicily-vulcano-apartment,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02, 14-night Thailand holiday with ✈️ & hotel 😲 ,Voo + Hotel,,https://www.holidaypirates.com/packages/phuket-jungle-experience-resort-phuket-thailand,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Price drop 🥳 Sicily getaway on a beautiful beach with spa hotel & flights 🐚 ,Voo + Hotel,,https://www.holidaypirates.com/packages/sicily-getaway-mira-spiaggia,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Last-min Italy: Venice city break with flights ✈️ 🎭 😍 🇮🇹,Voo + Hotel,,https://www.holidaypirates.com/packages/venice-city-break,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Last-min ALL-INCLUSIVE Fuerteventura family break to 4⭐️ hotel 🇮🇨 ,Voo + Hotel,,https://www.holidaypirates.com/packages/Fergus-Cactus-Garden-Fuerteventura-Spain,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,"14-night Jamaica holiday with ✈️ UNDER £1,000 🌴🌞🐚",Voo,,https://www.holidaypirates.com/packages/samsara-cliff-resort-negril-jamaica,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,All-inclusive summer Egypt week at popular 5⭐ hotel ,Voo + Hotel,,https://www.holidaypirates.com/packages/all-inc-egypt-week-at-popular-5-hotel,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Iceland: 3-night Reykjavík break with flights & central hotel with rooftop hot tub 💦,Voo + Hotel,,https://www.holidaypirates.com/packages/iceland-trip-with-flights-and-central-pod-hotel-cityhub-reykjavik,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Stay in a houseboat with a sun deck and stunning views of the Rock of Gibraltar,Voo,,https://www.holidaypirates.com/hotels/stay-in-a-houseboat-with-a-sun-deck-and-stunning-views-of-the-rock-of-gibraltar,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Majorca: 5-night spring Magaluf 4⭐️ escape,Voo + Hotel,,https://www.holidaypirates.com/packages/5-nights-in-majorca-with-4-hotel-and-flights,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Price drop 🔥 Stunning spring Corfu week for an unbelievable price 🏖️,Voo + Hotel,,https://www.holidaypirates.com/packages/price-drop-stunning-spring-corfu-week-for-an-unbelievable-price-pantokrator-hotel-greece,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Stay in a 4⭐️ CASTLE near Edinburgh 🏰🏴󠁧󠁢󠁳󠁣󠁴󠁿✨,Voo + Hotel,,https://www.holidaypirates.com/hotels/Dalmahoy-Hotel-Edinburgh,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Hocus Pocus! This tiny York hotel has some charming rates 🤩🪄🧙‍♀️,Voo + Hotel,,https://www.holidaypirates.com/hotels/hocus-pocus-this-tiny-york-hotel-has-some-charming-rates,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,4⭐️ all-inclusive Tunisia beach holiday with flights 🌴,Voo + Hotel,,https://www.holidaypirates.com/packages/4-all-inclusive-tunisia-beach-holiday-with-flights-eden-yasmine-resort,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Lush Santorini hol at 5⭐️ Radisson spa hotel 🌞🇬🇷,Voo + Hotel,,https://www.holidaypirates.com/packages/Radisson-Blu-Zaffron-Resort-Santorini-Greece,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,4⭐️ all-inclusive Tunisia holiday by the beach 😍🌴☀️,Voo + Hotel,,https://www.holidaypirates.com/packages/all-inclusive-week-in-tunisia-by-the-beach,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Super cheap weekend return flights this Spring 🐥☀️,Voo,,https://www.holidaypirates.com/flights/super-cheap-weekend-return-flights-this-spring,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
2026-04-02,Tokyo week with flights & 4⭐️ hotel including skyline views 🌆😍,Voo + Hotel,,https://www.holidaypirates.com/packages/tobu-hotel-levant-tokyo-loveholidays,https://www.google.com/flights?hl=pt,https://www.skyscanner.pt
